"","X","id","property_id","year_built","rooms_count","beds_count","baths_count","half_baths_count","full_baths_count","stories_count","units_count","buildings_count","total_size","basement_size","garage_size","architecture_type","exterior_wall_type","air_conditioning_type","basement_type","building_type","improvement_type","condition","construction_type","fireplace_count","fireplace_type","foundation_type","flooring_type","garage_type","heating_type","mobile_home","parking_spaces","parking_type","pool_type","quality","roof_type","roof_style_type","electricity_type","fuel_type","sewer_type","water_type","street_number","street_name","street_direction","street_suffix","unit_type","unit_number","address","city","state","zip","zoning","zoning_category","zoning_description","parcel_id","latitude","longitude","depth","width","size","acres","township","section","rental_property","view","location_description","land","improvement","total","exemption","tax_amount","tax_year","details","date","price","type","seller","transaction_id","document_year","sale_code"
"87",37750,37750,111721,1955,NA,3,NA,NA,NA,NA,NA,NA,1192,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",141,"Candy","","St","","","141 Candy St","Bakersfield","CA",93309,"","","SingleFamily","",35.357245,-119.051291,NA,NA,NA,0,"",NA,NA,NA,"",NA,NA,128000,NA,NA,NA,NA,2016-03-24,131500,"","",NA,NA,NA
"88",37751,37751,111722,1955,NA,3,NA,NA,NA,NA,NA,NA,1192,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",148,"Stine","N","Rd","","","148 N Stine Rd","Bakersfield","CA",93309,"","","SingleFamily","",35.35781,-119.048118,NA,NA,6176,0.1418,"",NA,NA,NA,"",NA,NA,40918,NA,NA,NA,NA,2016-07-19,121000,"","",NA,NA,NA
"89",37752,37752,111723,1955,NA,4,NA,NA,NA,NA,NA,NA,1192,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",6,"Stine","N","Rd","","","6 N Stine Rd","Bakersfield","CA",93309,"","","SingleFamily","",35.354682,-119.047767,NA,NA,6098,0.14,"",NA,NA,NA,"",NA,NA,70712,NA,NA,NA,NA,2016-03-28,155000,"","",NA,NA,NA
"90",37753,37753,111724,1959,NA,3,NA,NA,NA,NA,NA,NA,1444,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",148,"Suzanne","","St","","","148 Suzanne St","Bakersfield","CA",93309,"","","SingleFamily","",35.357559,-119.051684,NA,NA,6969,0.16,"",NA,NA,NA,"",NA,NA,160000,NA,NA,NA,NA,2016-08-24,190000,"","",NA,NA,NA
"93",37796,37796,111767,1952,NA,3,2,0,2,NA,NA,NA,1557,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",2512,"Cedar","","St","","","2512 Cedar St","Bakersfield","CA",93301,"","","SingleFamily","",35.384012,-119.029057,NA,NA,7405,0.17,"",NA,NA,NA,"",NA,NA,221000,NA,NA,NA,NA,2016-07-01,244500,"","",NA,NA,NA
"94",37797,37797,111768,1951,NA,2,NA,NA,NA,NA,NA,NA,1270,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",2537,"Bay","","St","","","2537 Bay St","Bakersfield","CA",93301,"","","SingleFamily","",35.383932,-119.02735,NA,NA,9600,0.2204,"",NA,NA,NA,"",NA,NA,191000,NA,NA,NA,NA,2016-04-15,134545,"","",NA,NA,NA
"96",37800,37800,111771,1952,NA,3,NA,NA,NA,NA,NA,NA,1443,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",2528,"Alder","","St","","","2528 Alder St","Bakersfield","CA",93301,"","","SingleFamily","",35.383885,-119.027902,NA,NA,NA,0,"",NA,NA,NA,"",NA,NA,165929,NA,NA,NA,NA,2016-03-02,235000,"","",NA,NA,NA
"97",37801,37801,111772,1949,NA,3,1.5,1,1,NA,NA,NA,1591,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",2537,"Pine","","St","","","2537 Pine St","Bakersfield","CA",93301,"","","SingleFamily","",35.385456,-119.029729,NA,NA,8400,0.1928,"",NA,NA,NA,"",NA,NA,175889,NA,NA,NA,NA,2016-04-28,225000,"","",NA,NA,NA
"99",37803,37803,111774,1958,NA,3,2,0,2,NA,NA,NA,1498,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",2536,"Bay","","St","","","2536 Bay St","Bakersfield","CA",93301,"","","SingleFamily","",35.38365,-119.026907,NA,NA,6386,0.1466,"",NA,NA,NA,"",NA,NA,169058,NA,NA,NA,NA,2016-03-03,210000,"","",NA,NA,NA
"100",37804,37804,111775,1954,NA,3,2,0,2,NA,NA,NA,1591,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",2539,"Drake","","St","","","2539 Drake St","Bakersfield","CA",93301,"","","SingleFamily","",35.382702,-119.026242,NA,NA,6534,0.15,"",NA,NA,NA,"",NA,NA,218847,NA,NA,NA,NA,2016-06-24,260000,"","",NA,NA,NA
"102",38159,38159,112174,1968,NA,3,2,0,2,NA,NA,NA,1449,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",3916,"Harris","","Rd","","","3916 Harris Rd","Bakersfield","CA",93313,"","","SingleFamily","",35.303625,-119.046233,NA,NA,17424,0.4,"",NA,NA,NA,"",NA,NA,104336,NA,NA,NA,NA,2016-03-23,210000,"","",NA,NA,NA
"105",38162,38162,112177,1970,NA,3,NA,NA,NA,NA,NA,NA,1400,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",4213,"Renee","","Ave","","","4213 Renee Ave","Bakersfield","CA",93313,"","","SingleFamily","",35.299892,-119.049494,NA,NA,NA,0,"",NA,NA,NA,"",NA,NA,154000,NA,NA,NA,NA,2016-03-07,168000,"","",NA,NA,NA
"106",38163,38163,112178,1971,NA,4,NA,NA,NA,NA,NA,NA,1716,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",4700,"Margalo","","Ave","","","4700 Margalo Ave","Bakersfield","CA",93313,"","","SingleFamily","",35.30509,-119.0546,NA,NA,17859,0.41,"",NA,NA,NA,"",NA,NA,107321,NA,NA,NA,NA,2016-03-28,206000,"","",NA,NA,NA
"107",38164,38164,112179,1972,NA,4,NA,NA,NA,NA,NA,NA,1461,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",4624,"Margalo","","Ave","","","4624 Margalo Ave","Bakersfield","CA",93313,"","","SingleFamily","",35.305088,-119.054341,NA,NA,17756,0.4076,"",NA,NA,NA,"",NA,NA,148566,NA,NA,NA,NA,2016-07-14,213000,"","",NA,NA,NA
"109",38166,38166,112181,1981,NA,4,NA,NA,NA,NA,NA,NA,1568,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",4708,"Glengary","","Pl","","","4708 Glengary Pl","Bakersfield","CA",93313,"","","SingleFamily","",35.298486,-119.054889,NA,NA,NA,0,"",NA,NA,NA,"",NA,NA,149625,NA,NA,NA,NA,2016-06-30,2e+05,"","",NA,NA,NA
"113",59757,59757,134913,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",12505,"Parkerhill","","Dr","","","12505 Parkerhill Dr","Bakersfield","CA",93311,"","Residential","SingleFamily","",35.327363,-119.141978,NA,NA,7841,0.18,"",NA,NA,NA,"",NA,NA,38221,NA,NA,NA,NA,2016-05-25,379000,"","",NA,NA,NA
"114",59758,59758,134914,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",2807,"Barrowby","","St","","","2807 Barrowby St","Bakersfield","CA",93311,"","Residential","SingleFamily","",35.329777,-119.145173,NA,NA,10019,0.23,"",NA,NA,NA,"",NA,NA,36366,NA,NA,NA,NA,2016-03-17,240000,"","",NA,NA,NA
"115",59759,59759,134915,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",12711,"Lincolnshire","","Dr","","","12711 Lincolnshire Dr","Bakersfield","CA",93311,"","Residential","SingleFamily","",35.325628,-119.144149,NA,NA,10454,0.24,"",NA,NA,NA,"",NA,NA,35759,NA,NA,NA,NA,2016-04-05,392000,"","",NA,NA,NA
"116",59760,59760,134916,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",2803,"Barrowby","","St","","","2803 Barrowby St","Bakersfield","CA",93311,"","Residential","SingleFamily","",35.329983,-119.145171,NA,NA,10019,0.23,"",NA,NA,NA,"",NA,NA,36366,NA,NA,NA,NA,2016-03-17,240000,"","",NA,NA,NA
"117",59761,59761,134917,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",12509,"Parkerhill","","Dr","","","12509 Parkerhill Dr","Bakersfield","CA",93311,"","Residential","SingleFamily","",35.327365,-119.142196,NA,NA,7841,0.18,"",NA,NA,NA,"",NA,NA,38221,NA,NA,NA,NA,2016-05-25,379000,"","",NA,NA,NA
"118",59762,59762,134918,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",2811,"Barrowby","","St","","","2811 Barrowby St","Bakersfield","CA",93311,"","Residential","SingleFamily","",35.329571,-119.145175,NA,NA,10019,0.23,"",NA,NA,NA,"",NA,NA,36366,NA,NA,NA,NA,2016-02-29,372500,"","",NA,NA,NA
"119",59763,59763,134919,2014,NA,3,2,0,2,NA,NA,NA,2228,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",3110,"Julesburg","","St","","","3110 Julesburg St","Bakersfield","CA",93311,"","Residential","SingleFamily","",35.327305,-119.141508,NA,NA,11761,0.27,"",NA,NA,NA,"",NA,NA,387000,NA,NA,NA,NA,2016-04-08,387500,"","",NA,NA,NA
"121",59765,59765,134923,1983,NA,3,NA,NA,NA,NA,NA,NA,1451,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",204,"Newberg","","St","","","204 Newberg St","Bakersfield","CA",93314,"","Residential","SingleFamily","",35.353313,-119.153316,NA,NA,11360,0.2608,"",NA,NA,NA,"",NA,NA,230000,NA,NA,NA,NA,2016-01-04,235000,"","",NA,NA,NA
