"","X","id","property_id","year_built","rooms_count","beds_count","baths_count","half_baths_count","full_baths_count","stories_count","units_count","buildings_count","total_size","basement_size","garage_size","architecture_type","exterior_wall_type","air_conditioning_type","basement_type","building_type","improvement_type","condition","construction_type","fireplace_count","fireplace_type","foundation_type","flooring_type","garage_type","heating_type","mobile_home","parking_spaces","parking_type","pool_type","quality","roof_type","roof_style_type","electricity_type","fuel_type","sewer_type","water_type","street_number","street_name","street_direction","street_suffix","unit_type","unit_number","address","city","state","zip","zoning","zoning_category","zoning_description","parcel_id","latitude","longitude","depth","width","size","acres","township","section","rental_property","view","location_description","land","improvement","total","exemption","tax_amount","tax_year","details","date","price","type","seller","transaction_id","document_year","sale_code"
"396",26087,26087,98760,1968,7,3,2,0,2,1,NA,1,1888,NA,462,"Traditional","Brick Veneer","Central",NA,"Single Family","","Average","",1,"Type Unknown","Slab",NA,"Detached Frame/concrete Block","Central",NA,NA,"Detached Frame/concrete Block","","Average",NA,NA,"Available","Gas","Public","Public",5623,"Sheraton Oaks","","Dr","","","5623 Sheraton Oaks Dr","Houston","TX",77091,"","Residential","SingleFamily","097-382-000-0006",29.858844,-95.471395,NA,NA,8120,0.1864,"",NA,NA,NA,"Neighborhood",19366,87750,107116,NA,2817,2015,NA,2016-06-17,129500,"Grant Deed","CIT MTG LOAN TRUST 2007-1",NA,NA,NA
"446",29561,29561,102597,1989,9,4,3,0,3,2,NA,1,3010,NA,462,"Traditional","Frame Concrete Block/brick","Central",NA,"Single Family","","Average","",1,"Type Unknown","Slab",NA,"Detached Frame/concrete Block","Central",NA,NA,"Detached Frame/concrete Block","","Average",NA,NA,"Available","Gas","Public","Public",14402,"Redbud Valley","","Trl","","","14402 Redbud Valley Trl","Houston","TX",77062,"","Residential","Single Family Residence / Townhouse","116-875-002-0006",29.58244,-95.14728,NA,NA,7705,0.1769,"",NA,NA,NA,"",33842,196726,230568,NA,6702,2015,NA,2016-05-09,241250,"Grant Deed","JOHNSON LOUISE E",NA,NA,NA
"454",30588,30588,103765,1950,NA,NA,0,0,0,1,NA,2,6440,NA,NA,"","Frame/stucco","Central",NA,"Bar","","Fair","Wood",NA,"","",NA,"","Hot Air",NA,NA,"Off Street","","Low",NA,NA,"Available","Gas","Public","Public",9834,"Jensen","","Dr","","","9834 Jensen Dr","Houston","TX",77093,"","Commercial","Service (general Public)","072-022-000-0030",29.85341,-95.33926,NA,NA,11550,0.2652,"",NA,NA,NA,"",28875,222971,251846,NA,6474,2015,NA,2016-07-15,312500,"Grant Deed","MCKORKLE LIPPODT & EVANS INC",NA,NA,NA
"461",31582,31582,104911,1952,6,3,1,0,1,1,NA,1,1059,NA,NA,"Traditional","Frame Concrete Block/brick","Central",NA,"Single Family","","Average","",NA,"","Slab",NA,"Carport","Central",NA,NA,"Carport","","Average",NA,NA,"Available","Gas","Public","Public",9010,"Linda Vista","","Rd","","","9010 Linda Vista Rd","Houston","TX",77078,"","Residential","Single Family Residence / Townhouse","076-039-004-0093",29.8387,-95.25801,NA,NA,7930,0.182,"",NA,NA,NA,"Neighborhood",7273,27002,34275,NA,869,2015,NA,2016-05-04,90000,"Grant Deed","BENAVIDES MARCO A & JUANA A",NA,NA,NA
"469",32561,32561,106051,1983,6,3,2,0,2,1,NA,1,1510,NA,400,"Traditional","Brick Veneer","Central",NA,"Single Family","","Average","",1,"Metal","Slab",NA,"","Central",NA,NA,"Attached Masonry Garage","","Average",NA,NA,"Available","Gas","Public","Public",7214,"Dew Mist","","Lane","","","7214 Dew Mist Lane","Houston","TX",77095,"","Residential","Single Family Residence / Townhouse","112-433-000-0005",29.88298,-95.6568,NA,NA,6300,0.1446,"",NA,NA,NA,"Neighborhood",15435,92930,108365,NA,2946,2015,NA,2016-03-10,134641,"Grant Deed","RITCHIE SHAWN W",NA,NA,NA
"525",37819,37819,111793,1974,NA,3,2,0,2,NA,NA,NA,1543,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",16210,"Dunman","","Ln","","","16210 Dunman Ln","Houston","TX",77044,"","","SingleFamily","",29.878687,-95.129308,NA,NA,7679,0.1763,"",NA,NA,NA,"",NA,NA,71958,NA,NA,NA,NA,2016-03-01,114000,"","",NA,NA,NA
"579",38312,38312,112334,1965,NA,3,2,0,2,NA,NA,NA,1556,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",1222,"Mosher","","Ln","","","1222 Mosher Ln","Houston","TX",77088,"","","SingleFamily","",29.895444,-95.423421,NA,NA,6721,0.1543,"",NA,NA,NA,"",NA,NA,119394,NA,NA,NA,NA,2016-02-28,130000,"","",NA,NA,NA
"613",39189,39189,113259,1940,NA,5,6,0,6,NA,NA,NA,2833,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",7810,"Channelside","","St","","","7810 Channelside St","Houston","TX",77012,"","","Duplex","",29.716461,-95.281563,NA,NA,8700,0.1997,"",NA,NA,NA,"",NA,NA,64200,NA,NA,NA,NA,2016-06-26,75000,"","",NA,NA,NA
"640",39224,39224,113295,1964,NA,3,2,0,2,NA,NA,NA,1300,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",9718,"Santa Monica","","Blvd","","","9718 Santa Monica Blvd","Houston","TX",77089,"","","SingleFamily","",29.604968,-95.235695,NA,NA,8681,0.1993,"",NA,NA,NA,"",NA,NA,99934,NA,NA,NA,NA,2016-04-27,132554,"","",NA,NA,NA
"660",39245,39245,113316,1977,NA,3,2,0,2,NA,NA,NA,2036,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",19703,"Horseshoe Lake","","Ln","","","19703 Horseshoe Lake Ln","Houston","TX",77084,"","","SingleFamily","",29.798397,-95.716998,NA,NA,8624,0.198,"",NA,NA,NA,"",NA,NA,128644,NA,NA,NA,NA,2016-03-07,159065,"","",NA,NA,NA
"669",39254,39254,113325,1974,NA,4,3,0,3,NA,NA,NA,2115,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",2003,"Bentvine","","Dr","","","2003 Bentvine Dr","Houston","TX",77084,"","","SingleFamily","",29.7961,-95.710173,NA,NA,7475,0.1716,"",NA,NA,NA,"",NA,NA,121991,NA,NA,NA,NA,2016-05-18,160000,"","",NA,NA,NA
"755",39373,39373,113447,1964,NA,3,2,0,2,NA,NA,NA,1314,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",3115,"Havner","","Ln","","","3115 Havner Ln","Houston","TX",77093,"","","SingleFamily","",29.884377,-95.33878,NA,NA,8058,0.185,"",NA,NA,NA,"",NA,NA,81386,NA,NA,NA,NA,2016-02-22,69000,"","",NA,NA,NA
"771",39400,39400,113474,1979,NA,3,2.5,1,2,NA,NA,NA,2948,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",12810,"Ashford Pine","","Dr","","","12810 Ashford Pine Dr","Houston","TX",77082,"","","SingleFamily","",29.73177,-95.613041,NA,NA,5401,0.124,"",NA,NA,NA,"",NA,NA,180927,NA,NA,NA,NA,2016-06-20,185000,"","",NA,NA,NA
"781",39410,39410,113484,1960,NA,4,2,0,2,NA,NA,NA,2028,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",1702,"Debeney","","Dr","","","1702 Debeney Dr","Houston","TX",77039,"","","SingleFamily","",29.904256,-95.359582,NA,NA,8559,0.1965,"",NA,NA,NA,"",NA,NA,68607,NA,NA,NA,NA,2016-03-19,86000,"","",NA,NA,NA
"831",43790,43790,118096,1963,NA,3,2,0,2,NA,NA,NA,2134,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",6014,"Benning","","Dr","","","6014 Benning Dr","Houston","TX",77096,"","","SingleFamily","",29.659149,-95.495662,NA,NA,7801,0.1791,"",NA,NA,NA,"",NA,NA,210852,NA,NA,NA,NA,2016-03-01,356400,"","",NA,NA,NA
"856",45535,45535,120011,1930,NA,2,1,0,1,NA,NA,NA,972,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",1801,"Sakowitz","","St","","","1801 Sakowitz St","Houston","TX",77020,"","","SingleFamily","",29.77791,-95.313782,NA,NA,5000,0.1148,"",NA,NA,NA,"",NA,NA,30469,NA,NA,NA,NA,2016-08-31,39000,"","",NA,NA,NA
"922",53135,53135,128025,1968,NA,3,2,0,2,NA,NA,NA,1376,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",16222,"White Star","","Dr","","","16222 White Star Dr","Houston","TX",77062,"","","SingleFamily","",29.55717,-95.13339,NA,NA,7200,0.1653,"",NA,NA,NA,"",NA,NA,121117,NA,NA,NA,NA,2016-08-22,126906,"","",NA,NA,NA
"927",53140,53140,128030,1972,NA,4,2,0,2,NA,NA,NA,1735,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",16630,"La Avenida","","Dr","","","16630 La Avenida Dr","Houston","TX",77062,"","","SingleFamily","",29.552063,-95.130029,NA,NA,7801,0.1791,"",NA,NA,NA,"",NA,NA,147390,NA,NA,NA,NA,2016-05-20,165000,"","",NA,NA,NA
"985",69768,69768,145353,1950,NA,3,1,0,1,NA,NA,NA,960,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",7014,"Bonita","","St","","","7014 Bonita St","Houston","TX",77016,"","Residential","SingleFamily","",29.823641,-95.322909,NA,NA,29520,0.6777,"",NA,NA,NA,"",NA,NA,25000,NA,NA,NA,NA,2016-06-09,50000,"","",NA,NA,NA
"1000",70053,70053,145662,1955,NA,3,2,0,2,NA,NA,NA,1845,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",4835,"Stillbrooke","","Dr","","","4835 Stillbrooke Dr","Houston","TX",77035,"","Residential","SingleFamily","",29.662277,-95.461017,NA,NA,8751,0.2009,"",NA,NA,NA,"",NA,NA,345119,NA,NA,NA,NA,2016-05-25,355000,"","",NA,NA,NA
"1001",70054,70054,145663,1955,NA,3,2,0,2,NA,NA,NA,1641,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",4831,"Stillbrooke","","Dr","","","4831 Stillbrooke Dr","Houston","TX",77035,"","Residential","SingleFamily","",29.662279,-95.460796,NA,NA,8751,0.2009,"",NA,NA,NA,"",NA,NA,281543,NA,NA,NA,NA,2016-02-22,320100,"","",NA,NA,NA
"1013",70066,70066,145675,1955,NA,3,2,0,2,NA,NA,NA,1225,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",4745,"Redstart","","St","","","4745 Redstart St","Houston","TX",77035,"","Residential","SingleFamily","",29.660629,-95.459012,NA,NA,7910,0.1816,"",NA,NA,NA,"",NA,NA,211450,NA,NA,NA,NA,2016-05-05,239000,"","",NA,NA,NA
"1078",87577,87577,164001,1979,6,3,2,0,2,1,NA,1,1400,NA,506,"Traditional","Brick Veneer","Central",NA,"Single Family","","Average","",1,"Metal","Slab",NA,"","Central",NA,NA,"Attached Masonry Garage","","Average",NA,NA,"Available","Gas","Public","Public",11411,"Meadow Joy","","Dr","","","11411 Meadow Joy Dr","Houston","TX",77089,"","Residential","Single Family Residence / Townhouse","111-642-000-0030",29.59044,-95.20511,NA,NA,6720,0.1543,"",NA,NA,NA,"Neighborhood",23755,89975,113730,NA,3220,2015,NA,2016-05-25,138750,"Grant Deed","HUYNH HOANG H",NA,NA,NA
"1085",88699,88699,165177,1966,NA,3,1.5,1,1,NA,NA,NA,1200,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",128,"Whitney","W","St","","","128 W Whitney St","Houston","TX",77018,"","Residential","SingleFamily","",29.831459,-95.399877,NA,NA,5732,0.1316,"",NA,NA,NA,"",NA,NA,73748,NA,NA,NA,NA,2016-02-22,99750,"","",NA,NA,NA
"1098",88758,88758,165237,1954,NA,3,2,0,2,NA,NA,NA,1501,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",6131,"Beechnut","","St","","","6131 Beechnut St","Houston","TX",77074,"","Residential","SingleFamily","",29.687994,-95.499897,NA,NA,8712,0.2,"",NA,NA,NA,"",NA,NA,110000,NA,NA,NA,NA,2016-06-30,165000,"","",NA,NA,NA
"1104",88764,88764,165243,1954,NA,3,1.5,1,1,NA,NA,NA,1276,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",8214,"Albacore","","Dr","","","8214 Albacore Dr","Houston","TX",77074,"","Residential","SingleFamily","",29.689873,-95.501009,NA,NA,7801,0.1791,"",NA,NA,NA,"",NA,NA,157789,NA,NA,NA,NA,2016-06-20,135000,"","",NA,NA,NA
"1127",88787,88787,165266,1966,NA,3,2,0,2,NA,NA,NA,1920,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",10619,"Hillcroft","","St","","","10619 Hillcroft St","Houston","TX",77096,"","Residential","SingleFamily","",29.665162,-95.491754,NA,NA,10920,0.2507,"",NA,NA,NA,"",NA,NA,237897,NA,NA,NA,NA,2016-03-23,232000,"","",NA,NA,NA
"1150",88810,88810,165289,1951,NA,3,1,0,1,NA,NA,NA,1206,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",5722,"Bellfort","","St","","","5722 Bellfort St","Houston","TX",77033,"","Residential","SingleFamily","",29.666004,-95.335842,NA,NA,7259,0.1666,"",NA,NA,NA,"",NA,NA,51008,NA,NA,NA,NA,2016-02-23,75400,"","",NA,NA,NA
"1163",95559,95559,172262,1972,NA,4,2,0,2,NA,NA,NA,2038,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",11722,"Hanworth","N","Dr","","","11722 N Hanworth Dr","Houston","TX",77031,"","Residential","SingleFamily","",29.650467,-95.551175,NA,NA,9051,0.2078,"",NA,NA,NA,"",NA,NA,148858,NA,NA,NA,NA,2016-05-31,160000,"","",NA,NA,NA
"1178",95574,95574,172277,1973,NA,4,2,0,2,NA,NA,NA,2024,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",12539,"Millbanks","","Dr","","","12539 Millbanks Dr","Houston","TX",77031,"","Residential","SingleFamily","",29.643867,-95.542668,NA,NA,7906,0.1815,"",NA,NA,NA,"",NA,NA,135122,NA,NA,NA,NA,2016-03-16,150000,"","",NA,NA,NA
"1195",98733,98733,175534,1958,NA,4,2,0,2,NA,NA,NA,2444,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",5618,"Ludington","","Dr","","","5618 Ludington Dr","Houston","TX",77035,"","Residential","SingleFamily","",29.650401,-95.484632,NA,NA,8398,0.1928,"",NA,NA,NA,"",NA,NA,254856,NA,NA,NA,NA,2016-02-22,230000,"","",NA,NA,NA
"1253",104659,104659,181645,1973,NA,4,2,0,2,NA,NA,NA,2150,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",12222,"Waldemar","","Dr","","","12222 Waldemar Dr","Houston","TX",77077,"","Residential","SingleFamily","",29.745218,-95.596509,NA,NA,8398,0.1928,"",NA,NA,NA,"",NA,NA,260120,NA,NA,NA,NA,2016-05-25,312000,"","",NA,NA,NA
"1256",104662,104662,181648,1973,NA,4,2,0,2,NA,NA,NA,2285,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",12203,"Waldemar","","Dr","","","12203 Waldemar Dr","Houston","TX",77077,"","Residential","SingleFamily","",29.74474,-95.5954,NA,NA,9073,0.2083,"",NA,NA,NA,"",NA,NA,299194,NA,NA,NA,NA,2016-07-15,329000,"","",NA,NA,NA
"1259",104665,104665,181651,1975,NA,2,2,0,2,NA,NA,NA,1394,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",11819,"Southlake","","Dr","","","11819 Southlake Dr","Houston","TX",77077,"","Residential","SingleFamily","",29.740182,-95.590119,NA,NA,2356,0.0541,"",NA,NA,NA,"",NA,NA,122449,NA,NA,NA,NA,2016-07-10,119900,"","",NA,NA,NA
"1272",104678,104678,181664,1975,NA,3,2,0,2,NA,NA,NA,2050,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",1819,"Cherry Bend","","Dr","","","1819 Cherry Bend Dr","Houston","TX",77077,"","Residential","SingleFamily","",29.745522,-95.590184,NA,NA,8285,0.1902,"",NA,NA,NA,"",NA,NA,266613,NA,NA,NA,NA,2016-05-27,275000,"","",NA,NA,NA
"1273",104679,104679,181665,1975,NA,3,2,0,2,NA,NA,NA,1847,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",11814,"Spruce Hill","","Dr","","","11814 Spruce Hill Dr","Houston","TX",77077,"","Residential","SingleFamily","",29.746722,-95.589374,NA,NA,7409,0.1701,"",NA,NA,NA,"",NA,NA,251725,NA,NA,NA,NA,2016-04-20,299000,"","",NA,NA,NA
"1275",104681,104681,181667,1976,NA,4,2.5,1,2,NA,NA,NA,2201,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",11821,"Westmere","","Dr","","","11821 Westmere Dr","Houston","TX",77077,"","Residential","SingleFamily","",29.746021,-95.588478,NA,NA,9165,0.2104,"",NA,NA,NA,"",NA,NA,257395,NA,NA,NA,NA,2016-06-24,287500,"","",NA,NA,NA
"1320",118905,118905,196599,1950,NA,3,1,0,1,NA,NA,NA,1062,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",3449,"Seabrook","","St","","","3449 Seabrook St","Houston","TX",77021,"","Residential","SingleFamily","",29.687654,-95.374733,NA,NA,5000,0.1148,"",NA,NA,NA,"",NA,NA,16000,NA,NA,NA,NA,2016-07-14,55000,"","",NA,NA,NA
"1342",124853,124853,202764,1955,NA,2,1,0,1,NA,NA,NA,800,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",4417,"Mckinley","","St","","","4417 Mckinley St","Houston","TX",77051,"","Residential","SingleFamily","",29.669932,-95.362214,NA,NA,5000,0.1148,"",NA,NA,NA,"",NA,NA,43308,NA,NA,NA,NA,2016-03-18,48000,"","",NA,NA,NA
"1410",133496,133496,211779,1992,NA,2,1.5,1,1,NA,NA,NA,1244,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",119,"2100","","St","","C","2100 Welch St APT C119","Houston","TX",77019,"","Residential","Condominium","",29.748492,-95.411482,NA,NA,NA,0,"",NA,NA,NA,"",NA,NA,254480,NA,NA,NA,NA,2016-05-18,255500,"","",NA,NA,NA
"1481",134290,134290,212605,2004,NA,3,2,0,2,NA,NA,NA,1196,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",8151,"Miley","","St","","","8151 Miley St","Houston","TX",77028,"","Residential","SingleFamily","",29.817069,-95.277579,NA,NA,4550,0.1045,"",NA,NA,NA,"",NA,NA,62371,NA,NA,NA,NA,2016-03-07,67000,"","",NA,NA,NA
"1489",134346,134346,212666,2015,5,3,3,0,3,0,NA,1,1725,NA,420,"","Frame Concrete Block/brick","Central",NA,"Single Family","","Average","",NA,"","Slab",NA,"Attached Frame","Central",NA,NA,"Attached Frame Garage","","Average",NA,NA,"","","","",5218,"Noble","","St","","","5218 Noble St","Houston","TX",77020,"","Residential","Single Family Residence / Townhouse","135-627-001-0002",29.780333,-95.318147,NA,NA,6000,0.1377,"",NA,NA,NA,"",0,0,14640,NA,0,2014,NA,2016-01-05,256250,"Grant Deed","SOUTH BY NORTHWEST LP",NA,NA,NA
"1493",134418,134418,212739,1928,NA,2,1,0,1,NA,NA,NA,940,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",7105,"C","","Ave","","","7105 Avenue C","Houston","TX",77011,"","Residential","SingleFamily","",29.736308,-95.299186,NA,NA,5300,0.1217,"",NA,NA,NA,"",NA,NA,65261,NA,NA,NA,NA,2016-02-24,120000,"","",NA,NA,NA
"1533",134514,134514,212836,1966,NA,3,2,0,2,NA,NA,NA,1312,NA,NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,NA,"","","",NA,NA,"","","","",3318,"Prudence","","Dr","","","3318 Prudence Dr","Houston","TX",77045,"","Residential","SingleFamily","",29.625085,-95.426427,NA,NA,6708,0.154,"",NA,NA,NA,"",NA,NA,69384,NA,NA,NA,NA,2016-05-20,80000,"","",NA,NA,NA
